"dataset","id","reason"
"ActivityNet Captions","v_UYHgieL5IKM","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_i2u80Y3BMYs","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_Vjsd6Ec6eKA","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_x3z3dVUxmJ0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_hUzsmIWojH0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_59mz2Nd8GM0","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_DCYz8p4zH6o","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_56m7PcBuUFc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_eAOBdYKju70","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_RWjCwIOuzrc","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_2N129Bw1jiQ","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_TOfBNYOlv8c","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_21krmbuT21s","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_6tveUnZe7WA","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_jzDXtd0__DM","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_0SmA1cGocz4","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_MBouLt-hXDU","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_lroya8XhuPs","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9."
"ActivityNet Captions","v_zDPsJ3ECaTI","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8250579833984375. Maximum achieved text similarity score is 0.8692859411239624."
"ActivityNet Captions","v_mn1ozn0j7D8","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8692057728767395. Maximum achieved text similarity score is 0.8865902423858643."
"ActivityNet Captions","v_OH5UXwa3F7E","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8654779195785522. Maximum achieved text similarity score is 0.8829629421234131."
"ActivityNet Captions","v_1iIG5D3jTk4","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8067172765731812. Maximum achieved text similarity score is 0.8465456366539001."
"ActivityNet Captions","v_ITGlho0dw-k","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7079144716262817. Maximum achieved text similarity score is 0.8840522170066833."
"ActivityNet Captions","v_KpOSIph2hHw","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8529185056686401. Maximum achieved text similarity score is 0.872458815574646."
"ActivityNet Captions","v_W3fKTlm1BPs","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.752377986907959. Maximum achieved text similarity score is 0.8448261022567749."
"ActivityNet Captions","v_E4ItlgO16LI","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7530068159103394. Maximum achieved text similarity score is 0.7899552583694458."
"ActivityNet Captions","v_ZN7C8n_6uH8","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.7730820178985596. Maximum achieved text similarity score is 0.8250464797019958."
"ActivityNet Captions","v_KSP62q7tM68","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8539028167724609. Maximum achieved text similarity score is 0.8668529987335205."
"ActivityNet Captions","v_IT9uvR9yjxI","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.831108570098877. Maximum achieved text similarity score is 0.8585981130599976."
"ActivityNet Captions","v_Vfb3LmFDols","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8527178764343262. Maximum achieved text similarity score is 0.8749078512191772."
"ActivityNet Captions","v_bWCIcijlgCo","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8748937249183655. Maximum achieved text similarity score is 0.8784528970718384."
"ActivityNet Captions","v_loUYsxA2RHg","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.847710371017456. Maximum achieved text similarity score is 0.8536821007728577."
"ActivityNet Captions","v_3S5RoKVsAys","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8565245866775513. Maximum achieved text similarity score is 0.8828164339065552."
"ActivityNet Captions","v_2WeG8QGOfcI","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8574026226997375. Maximum achieved text similarity score is 0.8752609491348267."
"ActivityNet Captions","v_CBckvP5FR4A","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8651750087738037. Maximum achieved text similarity score is 0.8873203992843628."
"ActivityNet Captions","v_R0dqEWnDC7k","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8573222756385803. Maximum achieved text similarity score is 0.875678300857544."
"ActivityNet Captions","v_lxtG6PbeaqY","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8512730002403259. Maximum achieved text similarity score is 0.8951156735420227."
"ActivityNet Captions","v_eg3oZ4XCEKk","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8463614583015442. Maximum achieved text similarity score is 0.8821813464164734."
"ActivityNet Captions","v_xDRvD_-fvd8","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.855518102645874. Maximum achieved text similarity score is 0.859478235244751."
"ActivityNet Captions","v_DWVI_N4Aeo8","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8714570999145508. Maximum achieved text similarity score is 0.883469820022583."
"ActivityNet Captions","v_JNuVGc8mn54","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.884545624256134. Maximum achieved text similarity score is 0.8955255746841431."
"ActivityNet Captions","v_5gBRDguUe8U","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8771196007728577. Maximum achieved text similarity score is 0.8986169099807739."
"ActivityNet Captions","v_J9Sl_H-1BOA","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8703765869140625. Maximum achieved text similarity score is 0.891983151435852."
"ActivityNet Captions","v_9mpPAwSmUmk","Exceeded maximum attempts to generate a GEST object that meets the similarity threshold. Expected minimum text similarity score is 0.9. Minimum achieved text similarity score is 0.8715299963951111. Maximum achieved text similarity score is 0.8844466805458069."
