synthetic,dataset,id,configuration,similarity,label,pair_type,blacklisted_or_missing_or_invalid
standard,ActivityNet Captions,v_QOlSCBRmfWY,Spectral_GloVe300,1.0,1,positive,0
standard,ActivityNet Captions,v_nwznKOuZM7w,Spectral_GloVe300,0.0,1,positive,1
standard,ActivityNet Captions,v_ogQozSI5V8U,Spectral_GloVe300,0.6072191860198524,1,positive,0
standard,ActivityNet Captions,v_nHE7u40plD0,Spectral_GloVe300,0.5273368591917862,1,positive,0
standard,ActivityNet Captions,v_69IsHpmRyfk,Spectral_GloVe300,0.27638570789026123,1,positive,0
standard,ActivityNet Captions,v_D18b2IZpxk0,Spectral_GloVe300,0.46596294992748316,1,positive,0
standard,ActivityNet Captions,v_pizl41xmw7k,Spectral_GloVe300,0.5130100945909265,1,positive,0
standard,ActivityNet Captions,v_oP77DgsbhKQ,Spectral_GloVe300,0.7035726424404877,1,positive,0
standard,ActivityNet Captions,v_LNKdVrX_0Fg,Spectral_GloVe300,0.5727765882223976,1,positive,0
standard,ActivityNet Captions,v_t0ajvfx6dgA,Spectral_GloVe300,0.39549811766262283,1,positive,0
standard,ActivityNet Captions,v_IoiDAHNryTk,Spectral_GloVe300,0.06047432053130683,1,positive,0
standard,ActivityNet Captions,v__yWADgOFxP0,Spectral_GloVe300,0.5839782392016071,1,positive,0
standard,ActivityNet Captions,v_AGgJVF3nT6I,Spectral_GloVe300,0.399498351819083,1,positive,0
standard,ActivityNet Captions,v_lZKrd84QElk,Spectral_GloVe300,0.5415533771461039,1,positive,0
standard,ActivityNet Captions,v_6lYTHj9vImo,Spectral_GloVe300,0.8417683924028678,1,positive,0
standard,ActivityNet Captions,v_E3QtX6r9QX0,Spectral_GloVe300,0.6016918621393696,1,positive,0
standard,ActivityNet Captions,v_iYxj8a1TPYk,Spectral_GloVe300,0.3202305261811806,1,positive,0
standard,ActivityNet Captions,v_cp52LdlmlUk,Spectral_GloVe300,0.8632774346531286,1,positive,0
standard,ActivityNet Captions,v_bpg2PC2neQM,Spectral_GloVe300,0.9872496753808506,1,positive,0
standard,ActivityNet Captions,v_RgzbNJPchqc,Spectral_GloVe300,0.9921497722317509,1,positive,0
standard,ActivityNet Captions,v__zHSfEhEqkU,Spectral_GloVe300,1.0,1,positive,0
standard,ActivityNet Captions,v_dAjhBWalWRM,Spectral_GloVe300,0.7326995038449865,1,positive,0
standard,ActivityNet Captions,v_zihMznAYlV0,Spectral_GloVe300,0.7529491389032574,1,positive,0
standard,ActivityNet Captions,v_XD3yFrJHiv8,Spectral_GloVe300,0.7992970044547848,1,positive,0
standard,ActivityNet Captions,v_---9CpRcKoU,Spectral_GloVe300,0.5869240885410814,1,positive,0
standard,ActivityNet Captions,v_epqnpUCVLK8,Spectral_GloVe300,0.07621560978445782,1,positive,0
standard,ActivityNet Captions,v_GFE2wAi9fjo,Spectral_GloVe300,0.18007520736866992,1,positive,0
standard,ActivityNet Captions,v_W19-fYOO9sg,Spectral_GloVe300,0.772870896807848,1,positive,0
standard,ActivityNet Captions,v_m22TDwfa8go,Spectral_GloVe300,0.30071823652802665,1,positive,0
standard,ActivityNet Captions,v_V_Nj_BhesEY,Spectral_GloVe300,1.0,1,positive,0
standard,ActivityNet Captions,v_p9iE8iemCMs,Spectral_GloVe300,0.0,1,positive,1
standard,ActivityNet Captions,v_fN2DiOswmOA,Spectral_GloVe300,1.0,1,positive,0
standard,ActivityNet Captions,v_37pwbUp8t1I,Spectral_GloVe300,0.4653742432584755,1,positive,0
standard,ActivityNet Captions,v_STaS53CNlZI,Spectral_GloVe300,0.0,1,positive,1
standard,ActivityNet Captions,v_JSDZWq777Mc,Spectral_GloVe300,0.5556994029283954,1,positive,0
standard,ActivityNet Captions,v_m16Cn9VA3Lk,Spectral_GloVe300,0.3659375169084949,1,positive,0
standard,ActivityNet Captions,v_lETAKUG4pQw,Spectral_GloVe300,0.30860200135487337,1,positive,0
standard,ActivityNet Captions,v_fOuFF7dGPtI,Spectral_GloVe300,0.976320937628733,1,positive,0
standard,ActivityNet Captions,v_CqscMsSNiNY,Spectral_GloVe300,0.23430923344800603,1,positive,0
standard,ActivityNet Captions,v_bmoS216hsoc,Spectral_GloVe300,1.0,1,positive,0
standard,ActivityNet Captions,v_tznMNEWglxY,Spectral_GloVe300,0.43260792687733707,1,positive,0
standard,ActivityNet Captions,v_mcDVNexy6Ps,Spectral_GloVe300,0.35259116346836517,1,positive,0
standard,ActivityNet Captions,v_7RESODKApso,Spectral_GloVe300,1.0,1,positive,0
standard,ActivityNet Captions,v_6uNhwOSZXco,Spectral_GloVe300,1.0161970182389592,1,positive,0
standard,ActivityNet Captions,v_kxwTPAhlhpw,Spectral_GloVe300,0.6566050276433067,1,positive,0
standard,ActivityNet Captions,v_Q9Fw56ZvXq4,Spectral_GloVe300,0.5160039185278164,1,positive,0
standard,ActivityNet Captions,v_UBDcmeET6ys,Spectral_GloVe300,0.3756939501459431,1,positive,0
standard,ActivityNet Captions,v_UXX8k68S3_g,Spectral_GloVe300,0.9549458983070771,1,positive,0
standard,ActivityNet Captions,v_xKPF_SpZ1gQ,Spectral_GloVe300,0.9016406677141403,1,positive,0
standard,ActivityNet Captions,v_pOyP_kDaskY,Spectral_GloVe300,0.956683200161442,1,positive,0
standard,ActivityNet Captions,v_iqe_HmjojQ8,Spectral_GloVe300,0.5963042863919834,1,positive,0
standard,ActivityNet Captions,v_p0O-EsMFcL4,Spectral_GloVe300,1.0,1,positive,0
standard,ActivityNet Captions,v_wrf4MfW4MGg,Spectral_GloVe300,0.5418793362271638,1,positive,0
