dataset,id_left,id_right
ActivityNet Captions,v_UgSLUt8X1Lc,v_AGgJVF3nT6I
ActivityNet Captions,v_HppLOtjJY_Q,v_2CfCDcCuOO4
ActivityNet Captions,v_LNKdVrX_0Fg,v_GTxmHim5JnY
ActivityNet Captions,v_VdeYnCIbRJ4,v_QHJTOHgjDMw
ActivityNet Captions,v_eC4l8AuAmKw,v_UgSLUt8X1Lc
ActivityNet Captions,v___dXUJsj3yo,v_soHEsBIljbI
ActivityNet Captions,v_FsXl6whrCWk,v__s20ZN8WZbo
ActivityNet Captions,v_fOuFF7dGPtI,v_lZKrd84QElk
ActivityNet Captions,v__LKFGLH8XxI,v_bmoS216hsoc
ActivityNet Captions,v_UciHec7xncc,v_dAjhBWalWRM
ActivityNet Captions,v_lZKrd84QElk,v_fhtNAMK0Vqk
ActivityNet Captions,v_m22TDwfa8go,v_iqe_HmjojQ8
ActivityNet Captions,v_fN2DiOswmOA,v_lZKrd84QElk
ActivityNet Captions,v___dXUJsj3yo,v_W19-fYOO9sg
ActivityNet Captions,v_edbczrXeEOk,v_XSu5dteR2Ko
ActivityNet Captions,v_lZKrd84QElk,v_mpC_UTM1tWQ
ActivityNet Captions,v_eUCKEnKxG8w,v_W19-fYOO9sg
ActivityNet Captions,v_z5bc9KKiAGI,v_UgSLUt8X1Lc
ActivityNet Captions,v_tznMNEWglxY,v_oxp7V1AKJWk
ActivityNet Captions,v_QHJTOHgjDMw,v_XSu5dteR2Ko
ActivityNet Captions,v_7RESODKApso,v_uHPrH22rPgU
ActivityNet Captions,v_VsFHNZHhNwI,v_hhN1647pP88
ActivityNet Captions,v_6uNhwOSZXco,v_Aj0Pd6snB-k
ActivityNet Captions,v_fhtNAMK0Vqk,v_AGgJVF3nT6I
ActivityNet Captions,v_j_YetAlzwbk,v_UgSLUt8X1Lc
ActivityNet Captions,v_kxwTPAhlhpw,v_mpC_UTM1tWQ
ActivityNet Captions,v_m16Cn9VA3Lk,v_5qBzjfW-sMs
ActivityNet Captions,v_nHE7u40plD0,v_VWmSZPIoBlw
ActivityNet Captions,v_TdAfqkmTrf0,v_UXX8k68S3_g
