metric,accuracy
llm_chosen_Qwen3_32B,0.74
llm_score_Qwen3_32B,0.74
llm_chosen_Llama_3_3_70B_Instruct,0.73
llm_score_Llama_3_3_70B_Instruct,0.73
llm_chosen_Llama_3_1_70B_Instruct,0.71
llm_score_Llama_3_1_70B_Instruct,0.71
llm_chosen_gpt_oss_120b,0.705
llm_score_gpt_oss_120b,0.705
llm_chosen_gpt_oss_20b,0.665
llm_score_gpt_oss_20b,0.665
llm_chosen_Mistral_Small_24B_Instruct_2501,0.655
llm_score_Mistral_Small_24B_Instruct_2501,0.655
llm_chosen_Llama_3_1_8B_Instruct,0.595
llm_score_Llama_3_1_8B_Instruct,0.595
gest_spectral_w2v_google_temporal,0.575
gest_spectral_w2v_google_temporal_spatial,0.575
gest_ngm_w2v_google_temporal,0.56
gest_ngm_w2v_google_temporal_spatial,0.56
sbert_cosine,0.555
gest_spectral_w2v_google_spatial,0.55
gest_ngm_w2v_google_spatial,0.54
rouge_l,0.52
gest_spectral_glove50_temporal,0.515
gest_spectral_glove50_temporal_spatial,0.515
gest_spectral_glove300_temporal,0.515
gest_spectral_glove300_temporal_spatial,0.515
gest_ngm_glove300_spatial,0.515
gest_ngm_glove50_temporal,0.505
gest_ngm_glove50_temporal_spatial,0.505
gest_ngm_glove50_spatial,0.5
gest_ngm_glove300_temporal,0.5
gest_ngm_glove300_temporal_spatial,0.5
bleu,0.5
bleurt,0.46
gest_spectral_glove300_spatial,0.455
gest_spectral_glove50_spatial,0.45
